model,dataset,task,subgroup,group,n_train_total,n_test,timestamp,hyperparameters,cv_n_runs,source_dir,has_diagnostics,accuracy,accuracy_cv_std,balanced_accuracy,balanced_accuracy_cv_std,precision,precision_cv_std,recall,recall_cv_std,f1,f1_cv_std,f2,f2_cv_std,roc_auc,roc_auc_cv_std,mcc,mcc_cv_std,mae,qwk,exact_match_rate,within_1_rate,mean_signed_error,underestimate_rate,overestimate_rate,clinical_risk_score,mcc_scaled,primary_rank,robust_score,robust_rank,robust_metrics_used
catboost,tree,severity,all,severity / all,736,184,2026-07-17T19:28:27.313313+00:00,"{""depth"": 4, ""iterations"": 200, ""l2_leaf_reg"": 5, ""learning_rate"": 0.05}",25,results\catboost__tree__severity__all,True,0.5760869565217391,0.028736722189146115,0.3435372671336776,0.028670257992154148,0.3656665085388994,0.04536144499932358,0.3435372671336776,0.028670257992154148,0.3385748665748666,0.03371876939647049,0.3396553784904036,0.030381702422297315,0.8049273969135562,0.021690297421215296,0.36151539961797774,0.04194103422063,0.6630434782608695,0.443977296615514,0.5760869565217391,0.8097826086956522,-0.33695652173913043,0.30434782608695654,0.11956521739130435,1.7445652173913044,0.6807576998089888,2.0,0.777283284850895,2.0,"qwk, within_1_rate, clinical_risk_score"
lightgbm,tree,severity,all,severity / all,736,184,2026-07-17T19:28:26.145727+00:00,"{""learning_rate"": 0.01, ""min_child_samples"": 20, ""n_estimators"": 200, ""num_leaves"": 31}",25,results\lightgbm__tree__severity__all,True,0.5380434782608695,0.034887117220764166,0.3399132450444001,0.038127942653914795,0.3370700679072229,0.08237070522675935,0.3399132450444001,0.038127942653914795,0.3345118538382371,0.04659057998236881,0.33705979404904135,0.0407116612763627,0.7821630542262143,0.0314100153131306,0.30786419537190607,0.05172719441293777,0.717391304347826,0.43770780363778594,0.5380434782608695,0.8043478260869565,-0.25,0.29347826086956524,0.16847826086956522,1.8396739130434783,0.6539320976859531,6.0,0.6240088934166214,3.0,"qwk, within_1_rate, clinical_risk_score"
logistic,linear,severity,all,severity / all,736,184,2026-07-17T19:28:22.751352+00:00,"{""C"": 0.01, ""class_weight"": null, ""l1_ratio"": 0.0, ""solver"": ""lbfgs""}",25,results\logistic__linear__severity__all,True,0.5597826086956522,0.02254946709340455,0.30252765420735966,0.01696695936027374,0.32103868574456806,0.08560021002375881,0.30252765420735966,0.01696695936027374,0.2756181599319721,0.020712381312094155,0.28903944892316985,0.01748278006617462,0.7971741263029444,0.022444583149812566,0.31758212844639827,0.03820391968856578,0.717391304347826,0.3245151888801704,0.5597826086956522,0.7880434782608695,-0.5217391304347826,0.358695652173913,0.08152173913043478,2.0652173913043477,0.6587910642231991,4.0,0.0,6.0,"qwk, within_1_rate, clinical_risk_score"
random_forest,tree,severity,all,severity / all,736,184,2026-07-17T19:28:24.207789+00:00,"{""class_weight"": null, ""max_depth"": 5, ""min_samples_leaf"": 2, ""n_estimators"": 800}",25,results\random_forest__tree__severity__all,True,0.5652173913043478,0.020114994497928477,0.32145480731536874,0.018700050104061526,0.31280179982440737,0.05495321712628408,0.32145480731536874,0.018700050104061526,0.2988684964908234,0.025591762663349293,0.3110511190116587,0.02106019967386259,0.8056457878302059,0.02245241169720023,0.34099545660266345,0.032507472807666644,0.6902173913043478,0.37250786988457507,0.5652173913043478,0.8043478260869565,-0.41847826086956524,0.33695652173913043,0.09782608695652174,1.8967391304347827,0.6704977283013317,1.0,0.4244060760440407,5.0,"qwk, within_1_rate, clinical_risk_score"
svm,linear,severity,all,severity / all,736,184,2026-07-17T19:28:24.519890+00:00,"{""C"": 1.0, ""class_weight"": null, ""gamma"": ""scale"", ""kernel"": ""rbf""}",25,results\svm__linear__severity__all,True,0.5815217391304348,0.020277333246822092,0.357247618073665,0.023377231665466198,0.3790510564704113,0.05623245760438492,0.357247618073665,0.023377231665466198,0.3559159663865546,0.03331837687045819,0.3548227136216511,0.02699037650689326,0.8006696436518098,0.021754830937087494,0.36665097365510335,0.03085785726617287,0.6467391304347826,0.46978859771540804,0.5815217391304348,0.8206521739130435,-0.33152173913043476,0.30434782608695654,0.11413043478260869,1.684782608695652,0.6833254868275517,3.0,1.0,1.0,"qwk, within_1_rate, clinical_risk_score"
xgboost,tree,severity,all,severity / all,736,184,2026-07-17T19:28:25.401697+00:00,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.01, ""max_depth"": 5, ""n_estimators"": 200, ""subsample"": 0.8}",25,results\xgboost__tree__severity__all,True,0.5543478260869565,0.024016329363222694,0.3386281126962213,0.021654868936536394,0.36839409893802444,0.05190703771682713,0.3386281126962213,0.021654868936536394,0.32659128790276337,0.029949480236666676,0.3316440176934786,0.024494516569294324,0.7956581666595488,0.02536918637709056,0.322609478562409,0.037570312633365875,0.6956521739130435,0.4076833031818665,0.5543478260869565,0.8043478260869565,-0.41304347826086957,0.33695652173913043,0.10869565217391304,1.8641304347826086,0.6613047392812045,5.0,0.533688382996031,4.0,"qwk, within_1_rate, clinical_risk_score"
