2026-07-15 09:00:18 | INFO    | pipeline.run_model | Grid search concluido: 600 runs novos, 0 pulados (ja existiam).
2026-07-15 09:00:28 | INFO    | pipeline.run_model | Melhor combinacao (roc_auc): C=1.0,class_weight=None,gamma=auto,kernel=rbf
2026-07-15 09:00:28 | INFO    | pipeline.run_model | Avaliacao final no teste concluida: {'accuracy': 0.8152173913043478, 'balanced_accuracy': 0.8082257293161167, 'precision': 0.8090909090909091, 'recall': 0.8725490196078431, 'f1': 0.839622641509434, 'f2': 0.859073359073359, 'roc_auc': 0.8836681013868962, 'mcc': 0.6248757833031275}
2026-07-15 09:00:34 | INFO    | pipeline.run_model | === run_model: model=xgboost dataset=tree task=binary subgroup=all n_splits=5 n_repeats=5 ===
2026-07-15 15:08:24 | INFO    | pipeline.run_model | === run_model: model=xgboost dataset=tree task=binary subgroup=all n_splits=5 n_repeats=5 ===
2026-07-15 15:08:24 | INFO    | pipeline.run_model | 72 combinacoes de hiperparametros a avaliar.
2026-07-15 15:08:24 | INFO    | pipeline.run_model | 0 runs ja existentes (checkpoint).
2026-07-15 15:21:42 | INFO    | pipeline.run_model | Grid search concluido: 1800 runs novos, 0 pulados (ja existiam).
2026-07-15 15:22:14 | INFO    | pipeline.run_model | Melhor combinacao (roc_auc): colsample_bytree=1.0,learning_rate=0.01,max_depth=3,n_estimators=400,subsample=0.8
2026-07-15 15:22:15 | INFO    | pipeline.run_model | Avaliacao final no teste concluida: {'accuracy': 0.7934782608695652, 'balanced_accuracy': 0.7898134863701578, 'precision': 0.8076923076923077, 'recall': 0.8235294117647058, 'f1': 0.8155339805825242, 'f2': 0.8203125, 'roc_auc': 0.8742228598756576, 'mcc': 0.5811576191935892}
2026-07-15 15:22:15 | INFO    | pipeline.run_model | === run_model: model=lightgbm dataset=tree task=binary subgroup=all n_splits=5 n_repeats=5 ===
2026-07-15 15:22:15 | INFO    | pipeline.run_model | 54 combinacoes de hiperparametros a avaliar.
2026-07-15 15:22:15 | INFO    | pipeline.run_model | 0 runs ja existentes (checkpoint).
2026-07-15 15:33:17 | INFO    | pipeline.run_model | Grid search concluido: 1350 runs novos, 0 pulados (ja existiam).
2026-07-15 15:33:39 | INFO    | pipeline.run_model | Melhor combinacao (roc_auc): learning_rate=0.01,min_child_samples=20,n_estimators=400,num_leaves=15
2026-07-15 15:33:39 | INFO    | pipeline.run_model | Avaliacao final no teste concluida: {'accuracy': 0.7717391304347826, 'balanced_accuracy': 0.7666188426590148, 'precision': 0.7830188679245284, 'recall': 0.8137254901960784, 'f1': 0.7980769230769231, 'f2': 0.8073929961089494, 'roc_auc': 0.8607125777140124, 'mcc': 0.536324470496557}
2026-07-15 15:33:39 | INFO    | pipeline.run_model | === run_model: model=catboost dataset=tree task=binary subgroup=all n_splits=5 n_repeats=5 ===
2026-07-15 15:33:39 | INFO    | pipeline.run_model | 54 combinacoes de hiperparametros a avaliar.
2026-07-15 15:33:39 | INFO    | pipeline.run_model | 0 runs ja existentes (checkpoint).
2026-07-15 17:06:43 | INFO    | pipeline.run_model | === run_model: model=catboost dataset=tree task=binary subgroup=all n_splits=5 n_repeats=5 ===
2026-07-15 17:06:43 | INFO    | pipeline.run_model | 54 combinacoes de hiperparametros a avaliar.
2026-07-15 17:06:49 | INFO    | pipeline.run_model | 856 runs ja existentes (checkpoint).
